trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 13:09:00,-5.999779,106.022506,41.5,0.34561
1,2025-03-03 13:09:30,-5.996496,106.022511,43.8,0.36498
1,2025-03-03 13:10:00,-5.995724,106.025191,44.1,0.36758
1,2025-03-03 13:10:30,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:11:00,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:11:30,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:12:00,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:12:30,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:13:00,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:13:30,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:14:00,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:14:30,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:15:00,-5.995724,106.025191,0.0,0.0
1,2025-03-03 13:15:30,-5.994808,106.027639,38.2,0.31812
1,2025-03-03 13:16:00,-5.992529,106.029281,37.4,0.3117
1,2025-03-03 13:16:30,-5.990071,106.031052,40.3,0.33624
1,2025-03-03 13:17:00,-5.987669,106.032171,36.0,0.30006
1,2025-03-03 13:17:30,-5.985093,106.031889,37.0,0.3084
1,2025-03-03 13:18:00,-5.983734,106.033372,44.0,0.36705
1,2025-03-03 13:18:30,-5.985804,106.035684,41.3,0.34405
1,2025-03-03 13:19:00,-5.987834,106.038207,43.1,0.35951
1,2025-03-03 13:19:30,-5.989526,106.040676,39.8,0.33192
1,2025-03-03 13:20:00,-5.990004,106.044039,45.5,0.37948
1,2025-03-03 13:20:30,-5.989794,106.047638,47.9,0.39957
1,2025-03-03 13:21:00,-5.990604,106.050161,35.7,0.29709
1,2025-03-03 13:21:30,-5.992515,106.052498,40.3,0.3361
1,2025-03-03 13:22:00,-5.994629,106.054761,41.2,0.34336
1,2025-03-03 13:22:30,-5.997146,106.057454,49.0,0.40862
1,2025-03-03 13:23:00,-5.999205,106.059657,40.1,0.33438
1,2025-03-03 13:23:30,-6.001603,106.062224,46.7,0.38954
1,2025-03-03 13:24:00,-6.003808,106.064622,43.3,0.36123
1,2025-03-03 13:24:30,-6.005548,106.06685,37.6,0.3133
1,2025-03-03 13:25:00,-6.00749,106.069558,44.4,0.36973
1,2025-03-03 13:25:30,-6.009105,106.072215,41.3,0.34438
1,2025-03-03 13:26:00,-6.010374,106.074594,35.9,0.29886
1,2025-03-03 13:26:30,-6.011693,106.077345,40.5,0.33769
1,2025-03-03 13:27:00,-6.013014,106.0801,40.6,0.33829
1,2025-03-03 13:27:30,-6.0146,106.083247,46.9,0.39057
1,2025-03-03 13:28:00,-6.016535,106.086259,47.6,0.39646
1,2025-03-03 13:28:30,-6.018266,106.088511,37.8,0.3154
1,2025-03-03 13:29:00,-6.020605,106.09125,47.9,0.39938
1,2025-03-03 13:29:30,-6.023191,106.09363,46.8,0.38986
1,2025-03-03 13:30:00,-6.025719,106.095956,45.7,0.38101
1,2025-03-03 13:30:30,-6.028364,106.097725,42.5,0.35387
1,2025-03-03 13:31:00,-6.031278,106.099578,46.0,0.38335
1,2025-03-03 13:31:30,-6.034071,106.101354,44.1,0.36744
1,2025-03-03 13:32:00,-6.03641,106.10284,36.9,0.30764
1,2025-03-03 13:32:30,-6.039032,106.104653,42.5,0.35427
1,2025-03-03 13:33:00,-6.041768,106.107114,49.0,0.4087
1,2025-03-03 13:33:30,-6.043676,106.10897,35.4,0.29513
1,2025-03-03 13:34:00,-6.045913,106.111495,44.9,0.37418
1,2025-03-03 13:34:30,-6.04774,106.113623,37.3,0.31085
1,2025-03-03 13:35:00,-6.050009,106.115914,43.1,0.35877
1,2025-03-03 13:35:30,-6.052583,106.118063,44.6,0.37199
1,2025-03-03 13:36:00,-6.055299,106.119948,44.1,0.3677
1,2025-03-03 13:36:30,-6.057811,106.121478,39.2,0.32668
1,2025-03-03 13:37:00,-6.06109,106.123214,49.5,0.41214
1,2025-03-03 13:37:30,-6.063914,106.124709,42.6,0.35478
1,2025-03-03 13:38:00,-6.067051,106.12637,47.3,0.39423
1,2025-03-03 13:38:30,-6.070065,106.127966,45.5,0.37876
1,2025-03-03 13:39:00,-6.072763,106.129395,40.7,0.33909
1,2025-03-03 13:39:30,-6.075428,106.130807,40.2,0.33499
1,2025-03-03 13:40:00,-6.077992,106.132164,38.7,0.32219
1,2025-03-03 13:40:30,-6.080604,106.133547,39.4,0.3282
1,2025-03-03 13:41:00,-6.08289,106.134926,35.7,0.29719
1,2025-03-03 13:41:30,-6.085353,106.137426,47.1,0.39266
1,2025-03-03 13:42:00,-6.086685,106.140356,42.9,0.35747
1,2025-03-03 13:42:30,-6.087752,106.143448,43.4,0.36191
1,2025-03-03 13:43:00,-6.088631,106.145994,35.8,0.29801
1,2025-03-03 13:43:30,-6.089627,106.148882,40.5,0.33792
1,2025-03-03 13:44:00,-6.090517,106.151461,36.2,0.30188
1,2025-03-03 13:44:30,-6.091456,106.154182,38.2,0.31847
1,2025-03-03 13:45:00,-6.092463,106.157102,41.0,0.34174
1,2025-03-03 13:45:30,-6.093345,106.159659,35.9,0.29928
1,2025-03-03 13:46:00,-6.094438,106.162503,40.5,0.33729
1,2025-03-03 13:46:30,-6.095689,106.165102,38.3,0.31946
1,2025-03-03 13:47:00,-6.097134,106.167424,36.4,0.30343
1,2025-03-03 13:47:30,-6.098978,106.170121,43.4,0.36185
1,2025-03-03 13:48:00,-6.100871,106.172178,37.2,0.31001
1,2025-03-03 13:48:30,-6.103063,106.174462,42.1,0.35107
1,2025-03-03 13:49:00,-6.105378,106.176671,42.6,0.35486
1,2025-03-03 13:49:30,-6.107885,106.179063,46.1,0.38427
1,2025-03-03 13:50:00,-6.11058,106.181636,49.6,0.41319
1,2025-03-03 13:50:30,-6.112707,106.183665,39.1,0.32595
1,2025-03-03 13:51:00,-6.115074,106.185924,43.5,0.36285
1,2025-03-03 13:51:30,-6.117837,106.188067,46.7,0.38884
1,2025-03-03 13:52:00,-6.120638,106.189515,42.1,0.35102
